#{"t_start": 1651387311.3162405, "env_id": "cruise-ctrl-v0"}
r,l,t
1.950375,101,139.446925
2.407574,101,140.020837
1.598524,101,140.598768
2.312463,101,141.191874
2.271747,101,141.770558
1.70255,101,142.356399
2.379122,101,142.937181
2.400778,101,143.51391
2.978915,101,144.091718
2.957449,101,144.667279
2.381617,101,145.242483
-7.168459,6,145.278034
2.222086,101,145.881011
2.417684,101,146.471647
2.969621,101,147.061198
3.031897,101,147.652598
1.499588,101,148.236202
2.287622,101,148.819704
2.266342,101,149.399517
2.457459,101,149.976251
1.945403,101,150.549012
1.861757,101,151.127306
2.667122,101,151.698122
1.637052,101,152.270489
2.968656,101,152.844036
1.888882,101,153.41356
2.25593,101,153.997522
2.554016,101,154.567148
2.175984,101,155.156884
2.554158,101,155.728987
-8.408054,4,155.753832
2.127178,101,156.328162
1.80771,101,156.896623
2.217581,101,157.468512
3.013488,101,158.039643
2.079429,101,158.612268
1.916471,101,159.184982
2.118884,101,159.761858
2.852286,101,160.338616
1.833773,101,160.913158
1.157629,101,161.485855
2.369169,101,162.058176
2.088981,101,162.630168
2.742124,101,163.203246
2.323767,101,163.778204
2.192252,101,164.351051
1.656257,101,164.924626
1.97128,101,165.501834
2.629527,101,166.075766
2.424057,101,166.651555
2.797012,101,167.222851
2.927862,101,167.794696
2.307532,101,168.36507
2.527064,101,168.938316
1.49235,101,169.50873
2.181517,101,170.078753
2.714985,101,170.650135
2.583833,101,171.220177
1.320173,101,171.788959
1.818013,101,172.357503
2.118293,101,172.927641
1.64216,101,173.496905
1.527357,101,174.067335
1.518662,101,174.647024
2.612479,101,175.20999
-8.451177,5,175.239599
2.530488,101,175.812287
2.277286,101,176.401953
2.922096,101,176.998205
2.080031,101,177.596001
2.185889,101,178.166004
1.787366,101,178.734843
1.041515,101,179.30416
2.325564,101,179.872432
2.566369,101,180.441546
1.309255,101,181.010282
2.312629,101,181.579642
1.599232,101,182.163308
1.429141,101,182.740942
2.324133,101,183.31756
-8.077255,5,183.346555
1.366932,101,183.916998
2.027846,101,184.486566
2.918587,101,185.055492
1.047276,101,185.625247
2.078439,101,186.193741
1.70148,101,186.76343
1.890903,101,187.333018
2.448472,101,187.906707
1.106706,101,188.477117
2.020971,101,189.047504
1.981267,101,189.617358
1.814345,101,190.187852
1.869076,101,190.756773
1.986976,101,191.327351
1.843558,101,191.896763
2.418585,101,192.466477
2.385707,101,193.036641
2.9842,101,193.611146
2.405717,101,194.18349
-7.629638,8,194.229906
1.514933,101,194.801685
