#{"t_start": 1651388775.5917256, "env_id": "cruise-ctrl-v1"}
r,l,t
1.418804,101,1341.739532
1.288898,101,1346.225889
2.484492,101,1350.690681
2.240586,101,1355.149054
2.031433,101,1359.609843
2.072779,101,1364.098097
-8.157708,6,1364.377373
2.091519,101,1368.865492
2.128869,101,1373.31799
2.681518,101,1377.782985
2.187172,101,1382.206555
2.454469,101,1386.655972
-8.203224,8,1387.059379
3.162832,101,1391.481629
2.273965,101,1395.898058
-7.864412,8,1396.29447
2.628366,101,1400.7135
1.987726,101,1405.134214
-8.505505,4,1405.362112
1.777389,101,1409.778549
1.880892,101,1414.213573
1.785789,101,1418.724428
3.098186,101,1423.157975
2.498068,101,1427.585567
2.375103,101,1432.039909
2.646703,101,1436.461174
-8.221039,5,1436.69697
2.097795,101,1441.144265
2.064441,101,1445.567952
2.693462,101,1449.985835
2.118905,101,1454.404215
2.114019,101,1458.858551
1.284597,101,1463.27681
2.968857,101,1467.696953
3.206172,101,1472.144808
3.802752,101,1476.560477
-7.786181,7,1476.913236
1.280987,101,1481.325308
1.783397,101,1485.739791
1.894618,101,1490.16265
2.377882,101,1494.611948
1.63081,101,1499.035798
-8.203459,5,1499.272542
-8.467487,6,1499.585064
1.538366,101,1504.003576
1.670633,101,1508.433469
2.53709,101,1512.820476
-7.536641,9,1513.267082
-7.69754,8,1513.663413
1.855564,101,1518.109273
3.10867,101,1522.561772
1.686919,101,1527.014453
2.55391,101,1531.49958
-8.688854,4,1531.69668
2.282552,101,1536.141255
2.274981,101,1540.619802
2.562287,101,1545.066786
1.921449,101,1549.529464
1.642843,101,1554.055171
1.666915,101,1558.507906
2.66505,101,1562.958585
2.073248,101,1567.406813
3.033675,101,1571.894503
2.5002,101,1576.345412
2.456089,101,1580.788277
2.693203,101,1585.230562
1.337057,101,1589.723555
1.80707,101,1594.249223
1.964364,101,1598.762937
2.951909,101,1603.276854
2.707664,101,1607.800071
2.431785,101,1612.26702
2.311283,101,1616.769077
1.580755,101,1621.257452
2.520535,101,1625.714634
2.917707,101,1630.240784
2.095037,101,1634.771925
-17.810267,10,1635.270719
2.763253,101,1639.803048
1.705692,101,1644.264394
2.73075,101,1648.755975
2.592396,101,1653.286224
2.03038,101,1657.751666
2.968459,101,1662.218147
2.560304,101,1666.690804
3.362153,101,1671.210385
2.144408,101,1675.706801
2.699448,101,1680.162419
2.190681,101,1684.616804
-8.515759,5,1684.890336
-19.11666,6,1685.21112
-8.636073,7,1685.542528
2.143042,101,1690.024336
3.153089,101,1694.488164
2.761181,101,1698.97798
3.342661,101,1703.49882
2.695492,101,1708.057258
1.804695,101,1712.632856
2.130731,101,1717.167912
2.26768,101,1721.698214
2.109894,101,1726.252768
3.028888,101,1730.807239
2.308826,101,1735.365837
1.67104,101,1739.945552
-8.399799,5,1740.187928
1.818589,101,1744.739933
1.473363,101,1749.336975
2.54577,101,1753.893954
2.449976,101,1758.433051
3.092847,101,1762.932802
1.495556,101,1767.418544
2.021292,101,1771.881421
1.455337,101,1776.386852
2.501529,101,1780.959996
3.785084,101,1785.458944
2.181679,101,1789.925094
2.995621,101,1794.389131
-8.609748,4,1794.623229
2.37405,101,1799.065776
1.999984,101,1803.496476
1.721604,101,1808.028988
2.236798,101,1812.490133
2.261456,101,1816.952419
2.218847,101,1821.453066
-7.988591,5,1821.690585
2.249179,101,1826.13985
2.356691,101,1830.621779
1.935292,101,1835.072802
2.156213,101,1839.528434
1.794833,101,1843.990955
2.187229,101,1848.494303
2.973918,101,1852.979539
3.481435,101,1857.468484
-8.642051,5,1857.742382
1.930302,101,1862.233722
2.226695,101,1866.719239
1.811121,101,1871.245441
-7.919965,6,1871.527313
2.290152,101,1876.062554
2.780937,101,1880.548636
2.366059,101,1884.983579
2.622035,101,1889.548383
2.317223,101,1894.161313
2.858227,101,1898.692544
2.13075,101,1903.117985
2.753791,101,1907.507254
1.448858,101,1911.909462
2.690732,101,1916.262072
2.725103,101,1920.616924
2.63767,101,1925.008825
3.022362,101,1929.366324
2.490663,101,1933.721926
3.21557,101,1938.074736
1.426483,101,1942.452497
2.5667,101,1946.796859
-8.883229,3,1946.950372
1.93542,101,1951.363717
3.091914,101,1955.811854
1.40546,101,1960.212148
2.764035,101,1964.630646
3.613311,101,1969.061158
2.742527,101,1973.503397
2.067512,101,1977.988186
2.559251,101,1982.460805
2.487072,101,1986.952774
2.646671,101,1991.404268
2.438208,101,1995.859512
1.888952,101,2000.338295
-8.216392,5,2000.576671
2.475101,101,2005.02376
2.028641,101,2009.497052
2.566006,101,2013.946355
1.745312,101,2018.411877
2.100626,101,2022.863945
2.452861,101,2027.361078
2.603737,101,2031.824165
2.635608,101,2036.28722
2.245876,101,2040.792906
1.977382,101,2045.261764
2.493976,101,2049.720353
2.624827,101,2054.178614
-17.745079,7,2054.531649
3.008333,101,2058.990924
1.952337,101,2063.489024
2.555831,101,2067.959014
2.055739,101,2072.446367
3.527881,101,2076.934078
1.969921,101,2081.45744
-8.220055,5,2081.694811
2.014773,101,2086.225012
2.667197,101,2090.688395
2.316252,101,2095.160063
2.314117,101,2099.648233
1.380121,101,2104.164632
2.454787,101,2108.668516
2.889787,101,2113.143457
1.92527,101,2117.652507
1.655458,101,2122.163906
2.073568,101,2126.631883
2.186419,101,2131.127026
2.443117,101,2135.681144
2.823964,101,2140.184265
2.129431,101,2144.694384
2.381062,101,2149.20109
2.779262,101,2153.723074
2.065819,101,2158.202412
3.179246,101,2162.699085
2.408646,101,2167.179065
1.700531,101,2171.701919
2.522562,101,2176.188111
2.48848,101,2180.66346
2.16112,101,2185.177088
1.957674,101,2189.66393
2.458849,101,2194.144003
1.78335,101,2198.612735
2.318695,101,2203.121289
2.368398,101,2207.604265
2.352879,101,2212.084191
2.389167,101,2216.561219
1.701049,101,2221.073143
2.481564,101,2225.549301
1.935539,101,2230.029489
2.385087,101,2234.540954
1.965554,101,2239.010982
2.164778,101,2243.482674
3.140479,101,2247.961748
-7.563453,7,2248.310543
2.252793,101,2252.791733
-7.865147,9,2253.252787
1.964133,101,2257.751943
2.1931,101,2262.218592
1.942566,101,2266.680003
2.383757,101,2271.162896
2.537365,101,2275.664268
2.543212,101,2280.162154
2.220222,101,2284.682347
2.521196,101,2289.232383
2.122457,101,2293.723284
1.692158,101,2298.172221
2.200463,101,2302.691547
2.164143,101,2307.197692
1.808225,101,2311.676029
2.181932,101,2316.123098
-7.309415,7,2316.477469
2.812507,101,2320.917121
2.8728,101,2325.356722
2.412154,101,2329.822741
2.382695,101,2334.25561
2.689946,101,2338.696254
2.647241,101,2343.131439
2.148536,101,2347.593723
3.172632,101,2352.042083
3.430575,101,2356.501302
3.059769,101,2360.984019
-8.168345,7,2361.30304
2.424945,101,2365.782115
1.849651,101,2370.224853
1.821544,101,2374.678049
1.547667,101,2379.120208
2.6645,101,2383.598708
2.39512,101,2388.054233
2.765059,101,2392.500594
3.418186,101,2396.96059
1.967239,101,2401.443751
2.940674,101,2405.883842
2.525624,101,2410.323488
2.590522,101,2414.803585
2.814898,101,2419.23998
-7.443557,8,2419.636241
2.494364,101,2424.085766
2.043444,101,2428.538532
2.054998,101,2432.978924
1.926602,101,2437.454701
2.494609,101,2441.902262
1.603864,101,2446.344856
3.036307,101,2450.822783
2.101405,101,2455.264589
1.612398,101,2459.700161
2.569672,101,2464.145779
2.835,101,2468.614082
3.307698,101,2473.082259
1.916201,101,2477.537091
2.685202,101,2481.984851
2.557677,101,2486.526288
2.583924,101,2490.969257
1.626931,101,2495.411733
2.33583,101,2499.87976
-7.826799,8,2500.243879
1.46991,101,2504.744851
2.190908,101,2509.193578
1.916906,101,2513.635969
2.064845,101,2518.077598
2.412408,101,2522.552459
3.01591,101,2526.992198
2.431724,101,2531.439099
3.436073,101,2535.909079
1.466527,101,2540.357163
2.102911,101,2544.802223
2.701058,101,2549.247123
2.561059,101,2553.726561
2.29127,101,2558.168643
2.355077,101,2562.609391
2.509834,101,2567.045121
2.091403,101,2571.518847
2.573209,101,2576.024925
1.470744,101,2580.469767
2.528862,101,2584.936153
1.815518,101,2589.389115
-7.993188,9,2589.834815
2.504344,101,2594.275048
-7.701344,6,2594.582977
1.937777,101,2599.016657
3.07218,101,2603.45817
2.133601,101,2607.900757
2.726804,101,2612.386549
-17.932229,8,2612.785171
2.074184,101,2617.237729
2.541682,101,2621.672666
2.412355,101,2626.107845
2.41062,101,2630.572779
2.542662,101,2635.000448
2.789352,101,2639.433979
2.987897,101,2643.865637
2.549964,101,2648.32998
1.678376,101,2652.761967
2.862324,101,2657.200212
2.517522,101,2661.670544
2.353326,101,2666.109385
2.02133,101,2670.550337
2.390061,101,2674.984469
1.961653,101,2679.447614
2.125819,101,2683.88148
1.778217,101,2688.324723
2.568763,101,2692.754842
2.417777,101,2697.21255
3.084648,101,2701.645962
3.073563,101,2706.086046
3.424195,101,2710.552287
3.346013,101,2714.991268
3.003652,101,2719.428173
2.424746,101,2723.857326
2.659964,101,2728.326964
2.528075,101,2732.765695
1.942723,101,2737.196676
-7.296411,8,2737.584584
